# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.41,	0.08,	10.0276,	0.0633476,	-0.427156,	0.00299102,	0.0648939
0.05,	0.42,	0.08,	10.9956,	0.0609397,	-0.462065,	0.00216472,	0.0027693
0.05,	0.43,	0.08,	9.01707,	0.0579135,	-0.419703,	0.00238265,	0.0892574
0.05,	0.44,	0.08,	8,	0.05,	-0.44,	0.08,	0.595424
0.05,	0.45,	0.08,	7.16527,	0.110746,	-0.0414987,	0.392215,	2.57209e-07
0.05,	0.46,	0.08,	8,	0.05,	-0.46,	0.08,	0.948774
0.05,	0.47,	0.08,	7.70594,	0.0939169,	-0.230183,	0.230183,	3.09915e-07
0.05,	0.48,	0.08,	2.18433,	0.0261238,	-0.225467,	0.225467,	5.36908e-07
0.05,	0.49,	0.08,	8.51178,	0.104236,	-0.231394,	0.231394,	1.04669e-07
0.05,	0.05,	0.09,	4.27361,	0.0256095,	-0.00736736,	0.136939,	0.0853264
0.05,	0.06,	0.09,	2.08437,	0.0122745,	-0.00679947,	0.147151,	0.0385935
0.05,	0.07,	0.09,	2.05994,	0.0116055,	-0.120783,	0.126011,	1.14631e-07
0.05,	0.08,	0.09,	4.7372,	0.0264106,	-0.101272,	0.150278,	6.39362e-07
0.05,	0.09,	0.09,	2.54174,	0.0142206,	-0.102441,	0.146337,	1.72973e-07
0.05,	0.1,	0.09,	8.75221,	0.0601491,	-0.0428595,	0.104316,	5.20763e-07
0.05,	0.11,	0.09,	2.23274,	0.0125789,	-0.121968,	0.124916,	3.07286e-07
0.05,	0.12,	0.09,	8,	0.05,	-0.12,	0.09,	0.555743
0.05,	0.13,	0.09,	2.05139,	0.0136678,	-0.136031,	0.171222,	1.19636e-07
0.05,	0.14,	0.09,	8,	0.05,	-0.14,	0.09,	0.257041
0.05,	0.15,	0.09,	2.0028,	0.00851447,	-0.305362,	0.136667,	0.00876369
0.05,	0.16,	0.09,	2.00082,	0.0084542,	-0.284034,	0.180379,	0.00729884
0.05,	0.17,	0.09,	8.69931,	0.0390913,	-0.225949,	0.225949,	2.5095e-08
0.05,	0.18,	0.09,	6.54194,	0.0293517,	-0.225569,	0.225569,	1.58909e-07
0.05,	0.19,	0.09,	2.34771,	0.0156902,	-0.14304,	0.163603,	5.79384e-07
0.05,	0.2,	0.09,	7.52577,	0.0456327,	-0.00475293,	0.213078,	0.274293
0.05,	0.21,	0.09,	7.45938,	0.0479731,	-0.225924,	0.0044468,	0.225324
0.05,	0.22,	0.09,	8.03884,	0.0425363,	-0.284898,	0.12263,	1.24792e-06
0.05,	0.23,	0.09,	7.77222,	0.0440051,	-0.261327,	0.11811,	2.15538e-07
0.05,	0.24,	0.09,	8.15118,	0.0515851,	-0.19689,	0.144395,	2.93056e-07
0.05,	0.25,	0.09,	8.985,	-0.825359,	-6.3456,	2.75832,	0
0.05,	0.26,	0.09,	633.02,	-30.2742,	-76.486,	493.448,	0
0.05,	0.27,	0.09,	8.03198,	0.552504,	1.14795,	-6.7045,	0
0.05,	0.28,	0.09,	6.63373,	0.0397506,	-0.225979,	0.225979,	8.40122e-08
0.05,	0.29,	0.09,	7.43503,	0.0445943,	-0.226213,	0.226213,	9.79145e-08
0.05,	0.3,	0.09,	2.05493,	0.012273,	-0.225165,	0.225165,	3.88601e-09
0.05,	0.31,	0.09,	8.39297,	0.0306263,	-0.449753,	0.00268492,	0.160833
0.05,	0.32,	0.09,	2.5127,	0.0346642,	0.0896235,	-0.0533623,	2.57213e-08
0.05,	0.33,	0.09,	2.00003,	0.022026,	-0.025868,	0.0386854,	0.00843059
0.05,	0.34,	0.09,	8.75762,	0.0633279,	-0.227375,	0.227375,	2.14288e-07
0.05,	0.35,	0.09,	8,	0.05,	-0.35,	0.09,	0.165655
0.05,	0.36,	0.09,	2.00029,	0.0101128,	-0.400777,	0.108965,	0.0182515
0.05,	0.37,	0.09,	8.08126,	0.0583552,	-0.227026,	0.227026,	4.43756e-08
0.05,	0.38,	0.09,	9.52456,	-0.626362,	-0.931507,	10.8134,	0
0.05,	0.39,	0.09,	7.88346,	0.514489,	1.25505,	-3.07914,	0
0.05,	0.4,	0.09,	8,	0.05,	-0.4,	0.09,	0.64688
0.05,	0.41,	0.09,	8.00729,	0.0364184,	-0.495282,	0.00202542,	0.0109393
0.05,	0.42,	0.09,	8.96817,	0.0462337,	-0.471116,	0.00212354,	0.0349885
0.05,	0.43,	0.09,	7.56053,	0.0684464,	-0.227766,	0.227766,	4.6899e-08
0.05,	0.44,	0.09,	4.2445,	0.0381398,	-0.225907,	0.225907,	3.14735e-08
0.05,	0.45,	0.09,	8,	0.05,	-0.45,	0.09,	0.882044
0.05,	0.46,	0.09,	7.92192,	0.0966675,	-0.230492,	0.230492,	1.24682e-07
0.05,	0.47,	0.09,	2.13701,	0.025556,	-0.22545,	0.22545,	4.13968e-07
